N	β	B	Ω	E/N	M/N
2.0	4.0	1.0	0.0	-1.1136583311505392	0.2255601926746918
2.0	4.0	1.0	1.0	-1.746977331300021	0.39242532412717696
2.0	4.0	1.0	2.0	-2.6642479382447313	0.44888277096219564
2.0	4.0	1.0	3.0	-3.6236996191578252	0.47031730552569684
2.0	4.0	2.0	0.0	-2.061546945974693	0.12126923386927652
2.0	4.0	2.0	1.0	-2.403211817183994	0.22891590921550853
2.0	4.0	2.0	2.0	-3.126198068478076	0.338550249045226
2.0	4.0	2.0	3.0	-3.97951818826592	0.39739007012787364
2.0	4.0	3.0	0.0	-3.041381261385454	0.0821994942708418
2.0	4.0	3.0	1.0	-3.2577017651113582	0.13966933153184194
2.0	4.0	3.0	2.0	-3.8027756377309183	0.23763056100624638
2.0	4.0	3.0	3.0	-4.526082587840249	0.3136167029728971
2.0	4.5	0.0	0.0	-0.4998766054240138	0.4998766054240138
2.0	4.5	0.0	1.0	-1.4999999086201257	0.4999999695400419
2.0	4.5	0.0	2.0	-2.499999999988722	0.49999999999624095
2.0	4.5	0.0	3.0	-3.499999999999998	0.49999999999999956
2.0	4.5	1.0	0.0	-1.1156691040311304	0.22466372053876008
2.0	4.5	1.0	1.0	-1.746979188018615	0.39242559734582383
2.0	4.5	1.0	2.0	-2.664247938449133	0.4488827710107137
2.0	4.5	1.0	3.0	-3.6236996191578883	0.47031730552571055
2.0	4.5	2.0	0.0	-2.0615515823125183	0.12126811083655085
2.0	4.5	2.0	1.0	-2.4032119125753	0.2289159052494279
2.0	4.5	2.0	2.0	-3.1261980685251176	0.3385502490497945
2.0	4.5	2.0	3.0	-3.9795181882659354	0.39739007012787575
2.0	4.5	3.0	0.0	-3.041381264852781	0.0821994937013783
2.0	4.5	3.0	1.0	-3.2577017654312685	0.13966933150248065
2.0	4.5	3.0	2.0	-3.8027756377319655	0.2376305610062562
2.0	4.5	3.0	3.0	-4.52608258784025	0.3136167029728972
2.0	5.0	0.0	0.0	-0.49995460213129755	0.49995460213129755
2.0	5.0	0.0	1.0	-1.4999999876330783	0.4999999958776928
2.0	5.0	0.0	2.0	-2.4999999999994387	0.49999999999981287
2.0	5.0	0.0	3.0	-3.5	0.5
2.0	5.0	1.0	0.0	-1.1167573188098174	0.2241776059162486
2.0	5.0	1.0	1.0	-1.746979527458983	0.3924256466802102
2.0	5.0	1.0	2.0	-2.6642479384596385	0.44888277101318674
2.0	5.0	1.0	3.0	-3.6236996191578896	0.4703173055257108
2.0	5.0	2.0	0.0	-2.061552554671241	0.12126787511640352
2.0	5.0	2.0	1.0	-2.403211924274666	0.22891590475853507
2.0	5.0	2.0	2.0	-3.1261980685271973	0.33855024904999453
2.0	5.0	2.0	3.0	-3.9795181882659354	0.39739007012787586
2.0	5.0	3.0	0.0	-3.041381265125774	0.08219949365651463
2.0	5.0	3.0	1.0	-3.257701765449636	0.13966933150079194
2.0	5.0	3.0	2.0	-3.802775637731994	0.23763056100625654
2.0	5.0	3.0	3.0	-4.52608258784025	0.3136167029728971
3.0	0.5	0.0	0.0	-0.30807810484000653	0.0
3.0	0.5	0.0	1.0	-1.123683253023428	-0.1674680801253047
3.0	0.5	0.0	2.0	-2.391445982612165	-0.2627146158429783
3.0	0.5	0.0	3.0	-3.5412102630611053	-0.30560413320660534
3.0	0.5	1.0	0.0	-0.693090496744149	1.0177044392397268e-16
3.0	0.5	1.0	1.0	-1.394331753640494	-0.14184137800017113
3.0	0.5	1.0	2.0	-2.5617154008645833	-0.23563334916657752
3.0	0.5	1.0	3.0	-3.664433370108423	-0.28419367155846315
3.0	0.5	2.0	0.0	-1.6375384776534316	1.942890293094024e-16
3.0	0.5	2.0	1.0	-2.112874084485913	-0.09193359136111083
3.0	0.5	2.0	2.0	-3.041455258483565	-0.17490430685821654
3.0	0.5	2.0	3.0	-4.019200115802264	-0.23169495430216128
3.0	0.5	3.0	0.0	-2.770680078704121	1.3877787807814457e-16
3.0	0.5	3.0	1.0	-3.0667426721186715	-0.05273146826765446
3.0	0.5	3.0	2.0	-3.746951703586909	-0.11543606402864127
3.0	0.5	3.0	3.0	-4.565273762659797	-0.17168694731967946
3.0	1.0	0.0	0.0	-0.5077294373038433	0.0
3.0	1.0	0.0	1.0	-1.6002157153692844	-0.3068491055039873
3.0	1.0	0.0	2.0	-2.6555651753158758	-0.3298195530899914
3.0	1.0	0.0	3.0	-3.6647191455958468	-0.332856115753885
3.0	1.0	1.0	0.0	-0.9830416931013879	1.6653345369377348e-16
3.0	1.0	1.0	1.0	-1.826521701752143	-0.2339917751135915
3.0	1.0	1.0	2.0	-2.807743051406545	-0.2878872273974707
3.0	1.0	1.0	3.0	-3.7805599765729987	-0.30706322540962194
3.0	1.0	2.0	0.0	-2.0001848087925076	1.4802973661668753e-16
3.0	1.0	2.0	1.0	-2.449017514348123	-0.1198571315366747
3.0	1.0	2.0	2.0	-3.2390486372849967	-0.20007027541448685
3.0	1.0	2.0	3.0	-4.115348950151376	-0.24537805924321335
