N	β	hx	hz	ED E/N	ED M/N	ε	±	ϴ	±
2.0	0.6	2.0	1.0	-2.4695113328044593	0.3136271531804616	-0.0003571661377934632	0.0022465044076454	-0.29894584681953845	0.0006624407584824
2.0	0.6	2.0	1.5	-2.9326784125530283	0.35244987754867274	0.00030075411363839066	0.0023147240858523	-0.41026812245132727	0.000521023534921
2.0	0.6	2.0	2.0	-3.4129623986046513	0.3840975666488899	-0.003276565271318699	0.0023733621161018	-0.4597324333511101	0.0004146867529414
2.0	0.8	0.0	0.0	-0.9216685544064712	0.4608342772032356	-0.00019917940647118382	0.0011632518390129	0.4623992772032356	0.0009800273012669
2.0	0.8	0.0	0.5	-1.2630455178800664	0.4704235319526021	0.0006332321199336022	0.0013052116333667	-0.17602346804739788	0.0007434351544599
2.0	0.8	0.0	1.0	-1.876182175896477	0.48443136938261133	0.0021678241035232304	0.001441941046539	-0.4232866306173887	0.0004007245850409
2.0	0.8	0.0	1.5	-2.450203802057805	0.4927180563910747	0.0010205729421945975	0.0015221815314927	-0.4840729436089253	0.0001968613244733
2.0	0.8	0.0	2.0	-2.9801602075761133	0.4966933679293522	-0.0007739575761132045	0.0015998882212371	-0.4967126320706478	9.95918123268e-5
2.0	0.8	0.5	0.0	-0.9954287780055833	0.44019957300004287	-0.0009094030055833979	0.0013046920227954	0.43978957300004284	0.0009696859141963
2.0	0.8	0.5	0.5	-1.3218802476216127	0.4523936724969266	-0.0014271226216129307	0.001428555774576	-0.17370432750307346	0.0007487962707518
2.0	0.8	0.5	1.0	-1.9189329441653435	0.47091560310998154	0.0016276808346562532	0.0015531794008391	-0.4204173968900185	0.0004198650490308
2.0	0.8	0.5	1.5	-2.4855061144458754	0.482676735491422	-0.001190489445875631	0.0016268220573578	-0.48275326450857803	0.0002255104564205
2.0	0.8	0.5	2.0	-3.0111123162353692	0.4889873533417679	-0.001264816235369004	0.0017020266830719	-0.49633564665823204	0.000135017050407
2.0	0.8	1.0	0.0	-1.2236499835872383	0.3857990031479712	0.0023606414127614883	0.0014744022239959	0.3872150031479712	0.000941331440593
2.0	0.8	1.0	0.5	-1.5061293247204028	0.4036444792623895	-0.0015943247204026623	0.0015624857999793	-0.1702185207376105	0.0007581720332852
2.0	0.8	1.0	1.0	-2.0517855044751108	0.433044242988629	-0.0012355044751104494	0.0016685247451641	-0.409786757011371	0.0004715921202036
2.0	0.8	1.0	1.5	-2.5930098474333976	0.4539712528218505	0.00288702756660264	0.0017372295682945	-0.47758174717814944	0.0002940817822904
2.0	0.8	1.0	2.0	-3.104276697938884	0.46673313957253376	-0.0011735729388844263	0.0018085510777546	-0.4938448604274663	0.0002092652615891
2.0	0.8	1.5	0.0	-1.597466306629041	0.31694640033228594	-0.0012063066290410873	0.0016575859359295	0.31650840033228594	0.0009038565290535
2.0	0.8	1.5	0.5	-1.8175235542279475	0.33892136680142165	-0.001158554227947306	0.0017120314210249	-0.15794963319857835	0.0007695042569706
2.0	0.8	1.5	1.0	-2.2798964076152934	0.3789164091723178	-0.0008426576152933407	0.0017920468910698	-0.3865845908276822	0.0005404419590266
2.0	0.8	1.5	1.5	-2.7747415727115072	0.41099352916564424	0.00035967728849239933	0.0018540622855086	-0.4642314708343558	0.0003810227612011
2.0	0.8	1.5	2.0	-3.2596918813819857	0.43256223538375627	-0.0032025063819856037	0.0019147706474886	-0.4868207646162437	0.0002955097065021
2.0	0.8	2.0	0.0	-2.0676554841904133	0.2531471572711651	0.0030013908095867237	0.0018424208303628	0.2529211572711651	0.0008677953111147
2.0	0.8	2.0	0.5	-2.2270815034612075	0.2752640096027525	0.0016709965387922132	0.0018703772208581	-0.1379969903972475	0.0007774721540621
2.0	0.8	2.0	1.0	-2.594988383701536	0.31993892419863784	0.002158491298463794	0.0019213047335638	-0.3528570758013621	0.0006056995206007
2.0	0.8	2.0	1.5	-3.0278142803077754	0.3605700226589479	0.0024319696922248113	0.0019717238623996	-0.4400449773410521	0.0004680585869887
2.0	0.8	2.0	2.0	-3.475252052617216	0.39066092390984164	-0.0015995526172161156	0.0020286631804511	-0.47369807609015835	0.0003788992777555
2.0	1.0	0.0	0.0	-0.9640275800758169	0.48201379003790845	-0.0005560800758168671	0.0010262989194076	0.48853279003790845	0.0009910264803589
2.0	1.0	0.0	0.5	-1.3528696259389752	0.48826970500878336	-5.162593897511947e-5	0.0011598988336236	-0.26524029499121665	0.0006483741977355
2.0	1.0	0.0	1.0	-1.9496676022647426	0.49515524824816004	-0.002979602264742587	0.0012589384081765	-0.4633737517518399	0.0002764041109648
2.0	1.0	0.0	1.5	-2.4862397733081076	0.49818404922634546	-0.0010592733081078443	0.0013365775020025	-0.4951549507736545	0.0001071664246098
2.0	1.0	0.0	2.0	-2.9959784956584135	0.4993297492764022	0.00014000434158667474	0.0014188148917295	-0.4993282507235978	4.50133431573e-5
2.0	1.0	0.5	0.0	-1.0357516522433046	0.4570004051314498	-7.165224330440978e-5	0.0011552425166108	0.4549904051314498	0.0009782754811008
2.0	1.0	0.5	0.5	-1.4068988102819664	0.4679381450256443	0.0008716897180334193	0.0012724938461817	-0.26056185497435574	0.0006611204028618
2.0	1.0	0.5	1.0	-1.9905343278894851	0.48106121163090654	-0.0014693278894850614	0.0013636829856702	-0.4618157883690934	0.000303911262103
2.0	1.0	0.5	1.5	-2.521392002483585	0.4879972536926718	0.0004884975164149985	0.0014335318443388	-0.4943657463073282	0.0001520919437806
2.0	1.0	0.5	2.0	-3.0270344921614294	0.491572300991298	0.003088507838570287	0.0015097497753652	-0.49901269900870204	0.0001011749376643
2.0	1.0	1.0	0.0	-1.2691435861458906	0.3912964299930226	-0.002343586145890697	0.0013109847362502	0.3911744299930226	0.0009437355963154
2.0	1.0	1.0	0.5	-1.583128318661381	0.41240178530019883	-0.0017593186613809042	0.0013906987523839	-0.2471002146998012	0.0006907254078848
2.0	1.0	1.0	1.0	-2.1182760883222875	0.4410717622407847	-0.0013435883222876477	0.0014710687286755	-0.4495772377592153	0.0003841347502616
2.0	1.0	1.0	1.5	-2.6280535380523196	0.4586902674624855	-0.0014345380523197448	0.00153506155748	-0.48931173253751453	0.0002444059486393
2.0	1.0	1.0	2.0	-3.1202781597131066	0.4691148903308376	-3.565971310681704e-5	0.0016056989348763	-0.49716110966916244	0.0001881986377281
2.0	1.0	1.5	0.0	-1.6582766465577523	0.31173061181094114	-0.002053146557752017	0.0014806657828217	0.31122861181094114	0.0009010596872042
2.0	1.0	1.5	0.5	-1.889746893020367	0.3395361736049869	-0.000147393020366815	0.0015265606145801	-0.21722182639501308	0.0007278715952921
2.0	1.0	1.5	1.0	-2.3390447476085265	0.3834084496120202	-0.0001962476085264342	0.0015849124442679	-0.42137555038797986	0.0004852060889652
2.0	1.0	1.5	1.5	-2.807502530411049	0.41450219506324065	0.0008254695889515773	0.0016413777866588	-0.47624580493675933	0.0003476321638516
2.0	1.0	1.5	2.0	-3.27524891320388	0.43452347848372386	-0.0022414132038797163	0.0017052708180498	-0.4916575215162762	0.0002784633418977
2.0	1.0	2.0	0.0	-2.1348639107859744	0.24400289162621752	-0.0023279107859743853	0.0016422913583847	0.24572389162621752	0.0008622370797013
2.0	1.0	2.0	0.5	-2.2927298189363228	0.2710899265844436	-0.00122881893632254	0.0016625496777752	-0.1753420734155564	0.0007560641778375
2.0	1.0	2.0	1.0	-2.6448817390618236	0.3210446335820109	0.0011792609381768848	0.0017037403226461	-0.3791613664179891	0.0005748424897377
